DATE,TYPE,DEP
2024-04-23 21:55:57,QUEST_NFTCOMMON_5HARD,13.000
2024-04-23 21:54:52,QUEST_NFTCOMMON_4HARD,12.000
2024-04-23 21:53:08,QUEST_NFTCOMMON_3HARD,11.000
2024-04-23 21:51:29,QUEST_NFTCOMMON_2HARD,10.000
2024-04-23 21:50:23,QUEST_NFTCOMMON_1HARD,9.000
2024-04-23 21:48:49,QUEST_NFTCOMMON_5NORMAL,7.000
2024-04-23 21:48:02,QUEST_NFTCOMMON_4NORMAL,6.000
2024-04-23 21:46:30,QUEST_NFTCOMMON_3NORMAL,5.000
2024-04-23 14:27:18,QUEST_NFTCOMMON_2NORMAL,4.000
2024-04-23 14:23:48,QUEST_NFTCOMMON_1NORMAL,3.000
2024-04-23 14:22:06,QUEST_NFTRARE_5HARD,26.000
2024-04-23 11:54:10,QUEST_NFTRARE_4HARD,25.000
2024-04-23 11:49:52,QUEST_NFTRARE_3HARD,23.000
2024-04-23 11:46:34,QUEST_NFTRARE_2HARD,22.000
2024-04-23 11:45:20,QUEST_NFTRARE_1HARD,20.000
2024-04-23 11:43:32,QUEST_NFTRARE_5NORMAL,17.000
2024-04-23 11:42:08,QUEST_NFTRARE_4NORMAL,16.000
2024-04-23 11:41:17,QUEST_NFTRARE_3NORMAL,15.000
2024-04-23 11:40:38,QUEST_NFTRARE_2NORMAL,14.000
2024-04-23 11:39:55,QUEST_NFTRARE_1NORMAL,8.000
2024-04-23 11:39:02,QUEST_NFTEPIC_5HARD,44.000
2024-04-23 11:34:26,QUEST_NFTEPIC_4HARD,43.000
2024-04-23 11:33:00,QUEST_NFTEPIC_3HARD,40.000
2024-04-23 11:31:36,QUEST_NFTEPIC_2HARD,39.000
2024-04-23 09:54:02,QUEST_NFTEPIC_1HARD,38.000
2024-04-23 09:52:49,QUEST_NFTEPIC_5NORMAL,35.000
2024-04-23 09:51:21,QUEST_NFTEPIC_4NORMAL,34.000
2024-04-23 09:50:19,QUEST_NFTEPIC_3NORMAL,29.000
2024-04-23 09:49:32,QUEST_NFTEPIC_2NORMAL,28.000
2024-04-23 09:48:18,QUEST_NFTEPIC_1NORMAL,27.000
2024-04-23 06:13:47,QUEST_NFTLEGEND_1HARD,200.000
2024-04-23 05:41:06,QUEST_NFTLEGEND_2HARD,209.000
2024-04-23 05:34:51,QUEST_NFTLEGEND_3HARD,233.000
2024-04-23 05:23:56,QUEST_NFTLEGEND_4HARD,265.000
2024-04-23 05:23:01,QUEST_NFTLEGEND_5HARD,310.000
2024-04-23 05:21:40,QUEST_NFTLEGEND_5NORMAL,135.000
2024-04-23 05:20:36,QUEST_NFTLEGEND_4NORMAL,132.000
2024-04-23 05:19:16,QUEST_NFTLEGEND_3NORMAL,128.000
2024-04-23 05:18:16,QUEST_NFTLEGEND_2NORMAL,119.000
2024-04-23 05:17:15,QUEST_NFTLEGEND_1NORMAL,108.000
2024-04-22 12:10:09,QUEST_NFTRARE_5HARD,26.000
2024-04-22 12:06:48,QUEST_NFTCOMMON_5HARD,13.000
2024-04-22 12:05:48,QUEST_NFTCOMMON_4HARD,12.000
2024-04-22 12:04:56,QUEST_NFTCOMMON_3HARD,11.000
2024-04-22 12:03:50,QUEST_NFTCOMMON_2HARD,10.000
2024-04-22 12:03:06,QUEST_NFTCOMMON_1HARD,9.000
2024-04-22 10:39:37,QUEST_NFTCOMMON_5NORMAL,7.000
2024-04-22 10:35:40,QUEST_NFTCOMMON_4NORMAL,6.000
2024-04-22 10:32:19,QUEST_NFTCOMMON_3NORMAL,5.000
2024-04-22 10:28:00,QUEST_NFTCOMMON_2NORMAL,4.000
2024-04-22 10:24:58,QUEST_NFTCOMMON_1NORMAL,3.000
2024-04-22 08:16:27,QUEST_NFTRARE_4HARD,25.000
2024-04-22 08:14:07,QUEST_NFTRARE_3HARD,23.000
2024-04-22 08:09:58,QUEST_NFTRARE_2HARD,22.000
2024-04-22 08:08:49,QUEST_NFTRARE_1HARD,20.000
2024-04-22 08:07:34,QUEST_NFTRARE_5NORMAL,17.000
2024-04-22 08:06:44,QUEST_NFTRARE_4NORMAL,16.000
2024-04-22 07:53:11,QUEST_NFTRARE_3NORMAL,15.000
2024-04-22 07:50:50,QUEST_NFTRARE_2NORMAL,14.000
2024-04-22 07:50:05,QUEST_NFTRARE_1NORMAL,8.000
2024-04-22 07:48:59,QUEST_NFTEPIC_5HARD,44.000
2024-04-22 07:46:30,QUEST_NFTEPIC_4HARD,43.000
2024-04-22 07:39:29,QUEST_NFTEPIC_3HARD,40.000
2024-04-22 01:04:05,QUEST_NFTEPIC_2HARD,39.000
2024-04-22 01:02:59,QUEST_NFTEPIC_1HARD,38.000
2024-04-22 01:01:43,QUEST_NFTEPIC_5NORMAL,35.000
2024-04-22 00:55:53,QUEST_NFTEPIC_4NORMAL,34.000
2024-04-22 00:37:49,QUEST_NFTEPIC_3NORMAL,29.000
2024-04-22 00:37:03,QUEST_NFTEPIC_2NORMAL,28.000
2024-04-22 00:36:18,QUEST_NFTEPIC_1NORMAL,27.000
2024-04-22 00:34:24,QUEST_NFTLEGEND_5HARD,310.000
2024-04-22 00:33:00,QUEST_NFTLEGEND_4HARD,265.000
2024-04-22 00:32:04,QUEST_NFTLEGEND_3HARD,233.000
2024-04-22 00:30:37,QUEST_NFTLEGEND_2HARD,209.000
2024-04-22 00:29:47,QUEST_NFTLEGEND_1HARD,200.000
2024-04-22 00:26:53,QUEST_NFTLEGEND_5NORMAL,135.000
2024-04-22 00:25:25,QUEST_NFTLEGEND_4NORMAL,132.000
2024-04-22 00:23:41,QUEST_NFTLEGEND_3NORMAL,128.000
2024-04-22 00:21:05,QUEST_NFTLEGEND_2NORMAL,119.000
2024-04-22 00:20:14,QUEST_NFTLEGEND_1NORMAL,108.000
2024-04-21 13:24:07,QUEST_NFTRARE_5HARD,26.000
2024-04-21 13:19:56,QUEST_NFTCOMMON_1HARD,9.000
2024-04-21 11:39:37,QUEST_NFTCOMMON_2HARD,10.000
2024-04-21 11:37:37,QUEST_NFTCOMMON_3HARD,11.000
2024-04-21 11:36:21,QUEST_NFTCOMMON_4HARD,12.000
2024-04-21 11:35:26,QUEST_NFTCOMMON_5HARD,13.000
2024-04-21 11:33:17,QUEST_NFTCOMMON_5NORMAL,7.000
